This data is designed to match the inauguration speeches data distributed with the R quanteda package.,,,
Skip first three lines.,,,
,,,
year,president,inauguration,party
1789,Washington,1789-Washington,None
1793,Washington,1793-Washington,None
1797,Adams,1797-Adams,Federalist
1801,Jefferson,1801-Jefferson,Democratic-Republican
1805,Jefferson,1805-Jefferson,Democratic-Republican
1809,Madison,1809-Madison,Democratic-Republican
1813,Madison,1813-Madison,Democratic-Republican
1817,Monroe,1817-Monroe,Democratic-Republican
1821,Monroe,1821-Monroe,Democratic-Republican
1825,Adams,1825-Adams,Democratic-Republican
1829,Jackson,1829-Jackson,Democrat
1833,Jackson,1833-Jackson,Democrat
1837,VanBuren,1837-VanBuren,Democrat
1841,Harrison,1841-Harrison,Whig
,Tyler,-Tyler,Whig
1845,Polk,1845-Polk,Democrat
1849,Taylor,1849-Taylor,Whig
,Fillmore,-Fillmore,Whig
1853,Pierce,1853-Pierce,Democrat
1857,Buchanan,1857-Buchanan,Democrat
1861,Lincoln,1861-Lincoln,Republican
1865,Lincoln,1865-Lincoln,Republican
,Johnson,-Johnson,National Union
1869,Grant,1869-Grant,Republican
1873,Grant,1873-Grant,Republican
1877,Hayes,1877-Hayes,Republican
1881,Garfield,1881-Garfield,Republican
,Arthur,-Arthur,Republican
1885,Cleveland,1885-Cleveland,Democrat
1889,Harrison,1889-Harrison,Republican
1893,Cleveland,1893-Cleveland,Democrat
1897,McKinley,1897-McKinley,Republican
1901,McKinley,1901-McKinley,Republican
1905,Roosevelt,1905-Roosevelt,Republican
1909,Taft,1909-Taft,Republican
1913,Wilson,1913-Wilson,Democrat
1917,Wilson,1917-Wilson,Democrat
1921,Harding,1921-Harding,Republican
1925,Coolidge,1925-Coolidge,Republican
1929,Hoover,1929-Hoover,Republican
1933,Roosevelt,1933-Roosevelt,Democrat
1937,Roosevelt,1937-Roosevelt,Democrat
1941,Roosevelt,1941-Roosevelt,Democrat
1945,Roosevelt,1945-Roosevelt,Democrat
1949,Truman,1949-Truman,Democrat
1953,Eisenhower,1953-Eisenhower,Republican
1957,Eisenhower,1957-Eisenhower,Republican
1961,Kennedy,1961-Kennedy,Democrat
1965,Johnson,1965-Johnson,Democrat
1969,Nixon,1969-Nixon,Republican
1973,Nixon,1973-Nixon,Republican
,Ford,-Ford,Republican
1977,Carter,1977-Carter,Democrat
1981,Reagan,1981-Reagan,Republican
1985,Reagan,1985-Reagan,Republican
1989,Bush,1989-Bush,Republican
1993,Clinton,1993-Clinton,Democrat
1997,Clinton,1997-Clinton,Democrat
2001,Bush,2001-Bush,Republican
2005,Bush,2005-Bush,Republican
2009,Obama,2009-Obama,Democrat
2013,Obama,2013-Obama,Democrat
2017,Trump,2017-Trump,Republican
